Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,Amount owed,Amount paid,Amount left,July_Payment_Status,Feb.Credit.Capacity,Mar.Credit.Capacity,Apr.Credit.Capacity,May.Credit.Capacity,Jun.Credit.Capacity,Overall.Credit.Capacity
2400,1,3,2,36,0,122,-1,45,12,-1,18,45,-1,18,18,-1,23,18,-1,0,29,215,104,111,0,0.5,1.875,0.75,0.75,1.2083333333,1.0166666667
11700,1,1,1,38,-1,70,-1,90,142,-1,113,90,-1,67,113,-2,49,67,-2,51,49,482,370,112,0,1.2136752137,0.7692307692,0.9658119658,0.5726495726,0.4188034188,0.788034188
3700,2,3,1,26,-1,135,-1,59,7,-1,31,59,-1,0,16,0,31,16,-1,0,31,233,121,112,1,0.1891891892,1.5945945946,0.4324324324,0.4324324324,0.8378378378,0.6972972973
8300,1,1,2,31,1,0,-1,0,34,2,0,34,0,0,34,0,24,34,-1,0,24,136,24,112,0,0.4096385542,0.4096385542,0.4096385542,0.4096385542,0.2891566265,0.3855421687
2300,2,3,2,44,-1,112,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,112,0,112,0,0,0,0,0,0,0
8500,2,2,1,28,-1,113,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,113,0,113,0,0,0,0,0,0,0
7900,2,2,1,30,-1,113,-1,25,13,-1,0,25,0,13,13,-1,13,13,-1,13,13,177,64,113,0,0.164556962,0.3164556962,0.164556962,0.164556962,0.164556962,0.1949367089
14500,2,1,2,29,-1,35,-1,80,422,-1,108,78,-1,80,106,-1,165,70,-1,165,165,711,598,113,0,2.9103448276,0.5379310345,0.7310344828,0.4827586207,1.1379310345,1.16
4900,1,2,2,27,-1,99,-1,98,99,-1,98,98,-1,98,98,-1,85,98,-1,0,85,492,379,113,0,2.0204081633,2,2,2,1.7346938776,1.9510204082
3100,1,2,1,53,2,42,-1,0,31,2,40,16,-1,0,40,0,0,24,0,0,-7,153,40,113,1,1,0.5161290323,1.2903225806,0.7741935484,-0.2258064516,0.6709677419
500,2,3,3,87,11,95,2,11,73,0,138,141,2,194,489,3,9,26,11,359,452,824,711,113,1,14.6,28.2,97.8,5.2,90.4,47.24
12800,1,1,1,33,-1,108,-1,15,20,-1,0,0,-2,0,0,-2,0,0,-2,0,0,128,15,113,0,0.15625,0,0,0,0,0.03125
10700,2,2,2,38,-2,123,-2,47,73,-2,63,47,-2,0,63,-2,53,0,-2,29,53,306,192,114,0,0.6822429907,0.4392523364,0.5887850467,0,0.4953271028,0.4411214953
6300,2,1,1,33,-1,114,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,114,0,114,0,0,0,0,0,0,0
6500,1,1,2,34,1,-3,-1,0,64,2,0,44,0,0,31,0,40,18,-1,0,32,154,40,114,1,0.9846153846,0.6769230769,0.4769230769,0.2769230769,0.4923076923,0.5815384615
14300,1,1,1,34,-1,298,-1,224,108,-1,157,222,-1,338,156,-1,124,337,-1,164,123,1121,1007,114,0,0.7552447552,1.5524475524,1.0909090909,2.3566433566,0.8601398601,1.3230769231
14300,1,2,2,23,1,0,-1,0,66,2,0,60,0,68,20,-1,32,68,-1,0,32,214,100,114,0,0.4615384615,0.4195804196,0.1398601399,0.4755244755,0.2237762238,0.3440559441
20100,1,1,1,45,-1,165,-1,179,234,-1,349,179,-1,0,349,0,165,165,-1,285,165,1092,978,114,0,1.1641791045,0.8905472637,1.736318408,0.8208955224,0.8208955224,1.0865671642
8800,2,1,2,33,-1,55,2,13,48,2,51,33,0,20,71,0,28,48,0,28,48,255,140,115,0,0.5454545455,0.375,0.8068181818,0.5454545455,0.5454545455,0.5636363636
15200,1,1,1,54,1,0,-1,56,115,-1,130,56,-1,0,130,-1,0,0,-2,0,0,301,186,115,0,0.7565789474,0.3684210526,0.8552631579,0,0,0.3960526316
7100,2,2,2,41,0,115,0,85,0,-1,0,85,-1,0,0,-2,0,0,-2,0,0,200,85,115,0,0,1.1971830986,0,0,0,0.2394366197
16700,2,2,1,35,-1,147,-1,136,174,-1,101,136,-1,129,101,-1,106,129,-1,100,186,687,572,115,0,1.0419161677,0.8143712575,0.6047904192,0.7724550898,1.1137724551,0.8694610778
8300,1,1,2,33,-1,61,2,0,54,2,0,0,-2,0,0,-2,0,0,-2,0,0,115,0,115,0,0.6506024096,0,0,0,0,0.1301204819
20000,1,1,1,47,-1,116,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,116,0,116,0,0,0,0,0,0,0
6000,2,1,1,43,-1,20,2,0,48,2,39,38,-1,0,39,0,29,39,-1,0,29,184,68,116,0,0.8,0.6333333333,0.65,0.65,0.4833333333,0.6433333333
6100,2,1,2,22,-2,116,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,116,0,116,1,0,0,0,0,0,0
5900,1,2,1,53,0,62,-1,0,31,-1,23,0,-1,8,23,0,0,31,0,0,0,147,31,116,0,0.5254237288,0,0.3898305085,0.5254237288,0,0.2881355932
1300,2,2,2,41,-1,33,-1,0,67,2,16,33,-1,16,16,-1,16,16,-1,0,16,165,48,117,0,5.1538461538,2.5384615385,1.2307692308,1.2307692308,1.2307692308,2.2769230769
4000,2,2,2,33,-2,183,-2,101,75,-2,134,100,-2,111,133,-2,36,111,-2,103,36,602,485,117,1,1.875,2.5,3.325,2.775,0.9,2.275
5600,2,1,2,31,-2,56,-2,56,61,-2,22,56,-2,0,22,-2,0,0,-2,0,0,195,78,117,0,1.0892857143,1,0.3928571429,0,0,0.4964285714
14300,1,1,2,29,-1,108,-1,0,31,2,16,16,-1,16,16,-1,22,16,-1,16,22,187,70,117,0,0.2167832168,0.1118881119,0.1118881119,0.1118881119,0.1538461538,0.1412587413
3600,2,2,1,48,-1,73,-1,28,112,-1,22,28,-1,40,22,-1,34,34,-1,28,34,269,152,117,0,3.1111111111,0.7777777778,0.6111111111,0.9444444444,0.9444444444,1.2777777778
10300,2,1,1,42,-1,128,-1,102,0,-1,89,102,-1,0,89,0,100,89,-1,0,98,408,291,117,0,0,0.9902912621,0.8640776699,0.8640776699,0.9514563107,0.7339805825
7300,1,2,2,25,0,169,0,80,209,0,41,263,0,246,288,0,501,257,-1,201,500,1186,1069,117,0,2.8630136986,3.602739726,3.9452054795,3.5205479452,6.8493150685,4.1561643836
4300,2,2,2,26,0,243,0,132,0,-1,101,132,-1,43,101,-1,47,43,-1,79,47,519,402,117,0,0,3.0697674419,2.3488372093,1,1.0930232558,1.5023255814
10100,2,2,2,28,-1,20,-1,90,134,-1,40,90,0,93,127,-1,66,93,-1,57,66,464,346,118,0,1.3267326733,0.8910891089,1.2574257426,0.9207920792,0.6534653465,1.0099009901
8000,2,2,1,34,-1,43,-1,44,163,-1,44,44,-1,44,44,-1,44,44,-1,44,44,338,220,118,0,2.0375,0.55,0.55,0.55,0.55,0.8475
4800,2,2,2,41,-2,13,-2,26,150,-2,13,13,-2,13,13,-2,19,13,-2,13,19,202,84,118,1,3.125,0.2708333333,0.2708333333,0.2708333333,0.3958333333,0.8666666667
7100,1,2,2,24,-2,92,-2,85,52,-2,36,84,-2,19,24,-1,0,19,2,13,13,271,153,118,0,0.7323943662,1.1830985915,0.338028169,0.2676056338,0.1830985915,0.5408450704
1200,2,3,2,51,-1,7,-1,0,74,2,44,38,-1,0,44,-1,0,0,-2,0,0,163,44,119,1,6.1666666667,3.1666666667,3.6666666667,0,0,2.6
9700,1,3,1,40,0,357,-1,120,66,-1,114,120,-1,165,114,-1,157,165,0,147,237,822,703,119,0,0.6804123711,1.2371134021,1.175257732,1.7010309278,2.4432989691,1.4474226804
1900,1,3,1,40,-1,50,-1,7,101,-1,50,7,-1,16,50,-1,16,16,-1,16,16,224,105,119,0,5.3157894737,0.3684210526,2.6315789474,0.8421052632,0.8421052632,2
4800,2,1,1,46,-1,25,-1,0,38,3,0,38,2,13,25,0,0,25,0,19,13,151,32,119,1,0.7916666667,0.7916666667,0.5208333333,0.5208333333,0.2708333333,0.5791666667
3500,2,1,2,26,-1,120,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,120,0,120,0,0,0,0,0,0,0
7300,2,1,2,24,-1,120,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,120,0,120,0,0,0,0,0,0,0
14400,1,1,2,26,2,48,0,31,72,0,0,31,-2,0,0,-2,0,0,-2,0,0,151,31,120,1,0.5,0.2152777778,0,0,0,0.1430555556
3700,2,1,2,32,-1,120,-1,0,240,-1,120,0,-1,120,120,-1,120,120,-1,120,120,600,480,120,0,6.4864864865,0,3.2432432432,3.2432432432,3.2432432432,3.2432432432
9500,2,1,2,36,-2,153,-2,153,153,-2,153,153,-2,33,153,-2,153,33,-2,33,153,645,525,120,0,1.6105263158,1.6105263158,1.6105263158,0.3473684211,1.6105263158,1.3578947368
3100,1,2,1,38,3,24,2,0,24,2,0,24,4,0,24,4,0,24,3,0,12,120,0,120,1,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.3870967742,0.6967741935
4400,2,2,2,31,3,24,2,0,24,2,0,24,4,0,24,4,0,24,3,0,12,120,0,120,1,0.5454545455,0.5454545455,0.5454545455,0.5454545455,0.2727272727,0.4909090909
4500,2,1,2,37,2,24,2,0,24,2,0,24,2,0,24,2,0,24,2,0,24,120,0,120,1,0.5333333333,0.5333333333,0.5333333333,0.5333333333,0.5333333333,0.5333333333
2900,2,1,1,24,-1,120,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,120,0,120,0,0,0,0,0,0,0
2000,2,2,1,25,1,0,-1,0,40,2,0,80,2,0,0,-2,0,0,-2,0,0,120,0,120,0,2,4,0,0,0,1.2
4700,2,2,1,49,-1,48,-1,138,100,-1,70,138,-1,20,70,-1,14,20,-1,13,14,376,255,121,0,2.1276595745,2.9361702128,1.4893617021,0.4255319149,0.2978723404,1.4553191489
8100,2,2,2,32,-1,86,-1,36,47,-1,46,36,-1,12,46,-1,0,12,-1,12,0,227,106,121,0,0.5802469136,0.4444444444,0.5679012346,0.1481481481,0,0.3481481481
14400,2,2,2,51,1,-1,-1,86,620,-1,398,86,-1,182,398,-1,321,182,-1,177,321,1285,1164,121,0,4.3055555556,0.5972222222,2.7638888889,1.2638888889,2.2291666667,2.2319444444
13100,2,1,1,59,-2,35,-2,0,92,-2,18,0,-2,0,18,-2,5,0,-2,0,5,145,23,122,1,0.7022900763,0,0.1374045802,0,0.0381679389,0.1755725191
1100,1,3,1,34,-1,60,-1,16,62,-1,31,16,-1,0,31,0,16,16,-1,0,16,185,63,122,0,5.6363636364,1.4545454545,2.8181818182,1.4545454545,1.4545454545,2.5636363636
20100,2,1,1,54,-1,53,-1,0,69,-1,0,0,-2,0,0,-2,0,0,-2,0,0,122,0,122,0,0.3432835821,0,0,0,0,0.0686567164
7100,2,1,2,26,-1,16,-1,0,54,2,40,38,0,40,63,0,16,87,0,40,86,258,136,122,0,0.7605633803,0.5352112676,0.8873239437,1.2253521127,1.2112676056,0.923943662
14500,2,1,1,38,-1,64,2,0,58,2,0,0,-2,0,0,-2,0,0,-2,0,0,122,0,122,0,0.4,0,0,0,0,0.08
1100,1,3,1,38,-1,60,-1,16,62,-1,31,16,-1,0,31,0,16,16,-1,0,16,185,63,122,0,5.6363636364,1.4545454545,2.8181818182,1.4545454545,1.4545454545,2.5636363636
14800,1,1,2,50,-2,244,-2,328,605,-2,617,328,-2,192,616,-2,538,192,-2,188,538,1985,1863,122,0,4.0878378378,2.2162162162,4.1621621622,1.2972972973,3.6351351351,3.0797297297
3900,2,1,2,29,-1,219,-1,388,226,-1,277,388,-1,328,211,-1,256,328,-1,0,451,1372,1249,123,0,5.7948717949,9.9487179487,5.4102564103,8.4102564103,11.5641025641,8.2256410256
11200,2,1,2,35,-1,123,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,123,0,123,0,0,0,0,0,0,0
7900,2,3,2,53,-1,31,0,103,79,-1,41,103,0,0,106,0,51,0,-1,0,51,319,195,124,0,1,1.3037974684,1.3417721519,0,0.6455696203,0.8582278481
3300,2,2,1,44,0,69,0,50,69,-1,7,50,-1,7,7,-1,7,7,-1,7,7,202,78,124,0,2.0909090909,1.5151515152,0.2121212121,0.2121212121,0.2121212121,0.8484848485
4100,1,2,2,37,-1,181,-1,183,197,-1,172,182,-1,200,172,0,200,267,0,120,354,999,875,124,0,4.8048780488,4.4390243902,4.1951219512,6.512195122,8.6341463415,5.7170731707
14000,1,1,2,41,1,8,-1,40,116,-1,25,40,-1,0,25,-1,0,0,-2,0,0,189,65,124,0,0.8285714286,0.2857142857,0.1785714286,0,0,0.2585714286
14300,1,2,1,40,-1,59,-1,0,125,2,59,59,-1,59,59,-1,59,59,-1,59,59,361,236,125,0,0.8741258741,0.4125874126,0.4125874126,0.4125874126,0.4125874126,0.5048951049
800,1,2,2,49,-1,16,-1,0,47,2,0,31,0,0,31,0,0,0,-2,0,0,125,0,125,1,5.875,3.875,3.875,0,0,2.725
7900,2,1,1,36,-1,125,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,125,0,125,0,0,0,0,0,0,0
14000,2,2,1,29,-1,350,-1,396,235,-1,188,394,-1,231,187,-1,262,231,-1,195,261,1397,1272,125,0,1.6785714286,2.8142857143,1.3357142857,1.65,1.8642857143,1.8685714286
14300,1,1,1,42,-2,45,-2,127,138,-2,59,127,-2,73,59,-2,58,73,-1,0,58,442,317,125,0,0.965034965,0.8881118881,0.4125874126,0.5104895105,0.4055944056,0.6363636364
7300,1,2,2,31,0,249,0,173,143,-1,133,173,-1,133,133,-1,133,133,-1,133,133,831,705,126,1,1.9589041096,2.3698630137,1.8219178082,1.8219178082,1.8219178082,1.9589041096
8300,2,1,1,33,-1,100,-1,28,26,-1,0,28,-1,0,0,-2,0,0,-2,0,0,154,28,126,1,0.313253012,0.3373493976,0,0,0,0.1301204819
9200,2,1,2,33,-1,89,-1,164,140,-1,16,160,-1,60,16,-1,53,60,-1,46,53,465,339,126,0,1.5217391304,1.7391304348,0.1739130435,0.652173913,0.5760869565,0.9326086957
8400,1,2,1,39,-1,127,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,127,0,127,0,0,0,0,0,0,0
800,2,1,2,22,-1,76,-1,0,51,-1,0,0,-2,0,0,-2,0,0,-2,0,0,127,0,127,0,6.375,0,0,0,0,1.275
6900,2,1,2,26,-1,52,-1,170,120,-1,69,170,-1,0,69,-1,45,0,-1,0,45,411,284,127,0,1.7391304348,2.4637681159,1,0,0.652173913,1.1710144928
10500,2,2,1,44,-2,28,-2,0,100,-2,0,0,-2,0,0,-2,0,0,-2,0,0,128,0,128,0,0.9523809524,0,0,0,0,0.1904761905
9200,2,2,1,40,-1,128,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,128,0,128,0,0,0,0,0,0,0
13600,2,2,1,33,2,16,-1,344,439,-1,450,342,-1,330,448,-1,321,328,-1,0,319,1573,1445,128,0,3.2279411765,2.5147058824,3.2941176471,2.4117647059,2.3455882353,2.7588235294
10400,2,1,1,30,-2,40,-2,75,96,-2,0,75,-2,40,0,-2,0,40,-2,8,0,251,123,128,0,0.9230769231,0.7211538462,0,0.3846153846,0,0.4057692308
6800,2,1,1,33,1,0,-1,0,128,-1,0,0,-2,0,0,-2,0,0,-2,0,0,128,0,128,1,1.8823529412,0,0,0,0,0.3764705882
9600,1,2,2,27,-1,195,-1,111,208,-1,185,110,-1,164,184,-1,175,164,-1,98,174,861,733,128,1,2.1666666667,1.1458333333,1.9166666667,1.7083333333,1.8125,1.75
14500,1,3,1,37,1,0,-1,13,174,-1,149,13,-1,126,149,-2,6,126,-2,40,6,462,334,128,0,1.2,0.0896551724,1.0275862069,0.8689655172,0.0413793103,0.6455172414
8300,1,2,1,42,-1,124,-1,132,210,-1,119,132,-1,39,119,-1,138,39,-1,67,138,624,495,129,0,2.5301204819,1.5903614458,1.4337349398,0.4698795181,1.6626506024,1.5373493976
3100,1,3,2,31,1,0,-1,31,140,-1,0,20,-1,0,0,-2,0,0,-2,0,0,160,31,129,0,4.5161290323,0.6451612903,0,0,0,1.0322580645
14500,2,2,1,31,1,0,-1,0,105,2,0,24,2,0,0,-2,0,0,-2,0,0,129,0,129,0,0.724137931,0.1655172414,0,0,0,0.1779310345
20000,1,1,2,37,-1,129,-1,121,0,-1,47,121,-1,90,47,-1,0,90,-1,0,0,387,258,129,0,0,0.605,0.235,0.45,0,0.258
6100,2,1,1,44,-1,74,-1,0,55,-1,0,0,-2,0,0,-2,0,0,-2,0,0,129,0,129,1,0.9016393443,0,0,0,0,0.1803278689
9200,2,1,1,35,-2,130,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,130,0,130,0,0,0,0,0,0,0
5300,2,2,2,27,-1,146,-1,16,16,-1,16,16,-1,16,16,-1,16,16,-1,16,16,210,80,130,0,0.3018867925,0.3018867925,0.3018867925,0.3018867925,0.3018867925,0.3018867925
10400,2,3,2,38,0,10,-1,0,120,-1,0,0,-2,0,0,-2,0,0,-2,0,0,130,0,130,0,1.1538461538,0,0,0,0,0.2307692308
7200,1,1,1,46,-1,178,-1,289,132,-1,202,289,-1,113,202,-1,76,113,-1,103,76,914,783,131,0,1.8333333333,4.0138888889,2.8055555556,1.5694444444,1.0555555556,2.2555555556
500,,4,1,84,1,137,4,27,66,0,138,227,3,222,280,2,28,29,5,193,212,739,608,131,0,13.2,45.4,56,5.8,42.4,32.56
10500,2,1,2,38,-2,153,-1,104,53,-1,41,104,-1,40,41,-1,38,40,-1,37,38,391,260,131,0,0.5047619048,0.9904761905,0.3904761905,0.380952381,0.3619047619,0.5257142857
11200,1,2,1,37,-1,132,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,132,0,132,0,0,0,0,0,0,0
14500,2,2,1,54,-1,37,-1,0,95,-1,0,0,-2,0,0,-2,0,0,-2,0,0,132,0,132,0,0.6551724138,0,0,0,0,0.1310344828
11300,1,2,1,38,-2,81,-1,375,440,-1,299,374,-2,176,299,-2,146,176,-2,242,146,1370,1238,132,0,3.8938053097,3.3097345133,2.6460176991,1.5575221239,1.2920353982,2.5398230088
10800,2,1,1,36,-2,132,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,132,0,132,0,0,0,0,0,0,0
16100,1,1,1,45,-1,179,-1,77,0,-1,34,76,-1,32,34,-1,31,32,-1,15,31,321,189,132,0,0,0.4720496894,0.2111801242,0.198757764,0.1925465839,0.2149068323
14400,2,2,1,36,-1,29,0,40,47,0,8,65,0,20,51,0,20,48,0,20,53,240,108,132,1,0.3263888889,0.4513888889,0.3541666667,0.3333333333,0.3680555556,0.3666666667
7900,1,1,2,32,-1,45,-1,0,87,-1,0,0,-2,0,0,-2,0,0,-2,0,0,132,0,132,1,1.1012658228,0,0,0,0,0.2202531646
8100,2,4,2,24,-2,132,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,132,0,132,0,0,0,0,0,0,0
800,2,2,1,31,1,-1,-1,35,134,-1,19,35,-1,10,19,-1,0,10,-1,0,0,197,64,133,0,16.75,4.375,2.375,1.25,0,4.95
8000,1,1,1,32,-2,50,-2,38,160,-2,95,38,-2,118,94,-2,46,118,-2,30,46,460,327,133,0,2,0.475,1.175,1.475,0.575,1.14
9200,2,1,2,30,-1,78,-1,91,442,-1,393,91,-1,28,393,-1,215,28,-1,171,215,1032,898,134,0,4.8043478261,0.9891304348,4.2717391304,0.3043478261,2.3369565217,2.5413043478
12000,1,1,1,43,-1,66,-1,0,69,-1,0,0,-2,0,0,-2,0,0,-2,0,0,135,0,135,0,0.575,0,0,0,0,0.115
7900,2,1,2,30,-1,116,2,90,50,-1,0,75,2,16,16,-1,16,16,-1,16,16,273,138,135,0,0.6329113924,0.9493670886,0.2025316456,0.2025316456,0.2025316456,0.4379746835
6300,2,1,1,58,-2,30,-2,144,155,-2,90,143,-2,16,73,-2,16,16,-2,16,16,417,282,135,1,2.4603174603,2.2698412698,1.1587301587,0.253968254,0.253968254,1.2793650794
5900,2,1,2,25,-1,111,-1,24,0,-1,0,24,2,0,24,2,0,0,-2,0,0,159,24,135,1,0,0.406779661,0.406779661,0,0,0.1627118644
14500,2,3,1,72,-1,78,-1,0,29,2,0,29,2,0,0,-2,0,0,-2,0,0,136,0,136,0,0.2,0.2,0,0,0,0.08
9300,1,1,1,40,-1,76,-1,46,86,-1,54,46,-1,41,54,-1,0,41,-1,26,0,303,167,136,0,0.9247311828,0.4946236559,0.5806451613,0.4408602151,0,0.488172043
8000,1,1,1,53,-1,94,-1,58,158,-1,58,58,-1,58,58,-1,58,58,-1,58,58,426,290,136,0,1.975,0.725,0.725,0.725,0.725,0.975
2000,2,2,2,25,-1,139,-1,101,-1,-1,0,100,-1,0,0,-2,0,0,-2,0,0,238,101,137,0,-0.05,5,0,0,0,0.99
8100,2,1,2,33,-1,63,3,0,44,2,28,31,2,0,47,2,48,28,2,0,57,213,76,137,0,0.5432098765,0.3827160494,0.5802469136,0.3456790123,0.7037037037,0.5111111111
1300,2,2,2,37,-2,97,-2,90,89,-2,22,89,-2,90,22,-2,23,89,-2,23,23,386,248,138,1,6.8461538462,6.8461538462,1.6923076923,6.8461538462,1.7692307692,4.8
9300,1,1,1,37,-1,138,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,138,0,138,1,0,0,0,0,0,0
5300,2,3,1,45,-1,201,2,1,166,2,215,65,-1,33,201,0,146,70,-1,169,146,703,564,139,0,3.1320754717,1.2264150943,3.7924528302,1.320754717,2.7547169811,2.4452830189
6400,2,3,1,34,-1,95,2,88,44,-1,0,88,-1,0,0,-2,0,0,-2,0,0,227,88,139,1,0.6875,1.375,0,0,0,0.4125
4100,2,1,2,26,1,0,-1,0,139,-1,40,0,-1,0,40,-1,0,0,-2,0,0,179,40,139,0,3.3902439024,0,0.9756097561,0,0,0.8731707317
700,1,3,1,44,-1,101,-1,50,7,-1,47,50,-1,0,47,0,0,31,0,0,16,236,97,139,0,1,7.1428571429,6.7142857143,4.4285714286,2.2857142857,4.3142857143
5900,2,1,2,27,-1,139,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,139,0,139,0,0,0,0,0,0,0
7100,2,1,1,34,-1,181,-1,69,58,-1,89,69,-1,61,89,-1,42,61,-1,58,42,458,319,139,0,0.8169014085,0.9718309859,1.2535211268,0.8591549296,0.5915492958,0.8985915493
4800,2,1,1,37,-1,274,-1,0,693,2,566,82,-1,360,343,-1,680,353,-1,0,687,1745,1606,139,0,14.4375,1.7083333333,7.1458333333,7.3541666667,14.3125,8.9916666667
8300,1,2,1,31,-1,70,-1,0,100,2,82,30,-1,30,82,-1,30,30,-1,30,30,312,172,140,0,1.2048192771,0.3614457831,0.9879518072,0.3614457831,0.3614457831,0.6554216867
6300,2,1,1,43,-1,144,-1,42,177,-1,86,42,-1,101,86,-1,90,101,-1,90,90,550,409,141,0,2.8095238095,0.6666666667,1.3650793651,1.6031746032,1.4285714286,1.5746031746
4100,2,3,3,48,-1,33,-1,0,74,2,0,67,0,33,33,-1,33,33,-1,33,33,240,99,141,0,1.8048780488,1.6341463415,0.8048780488,0.8048780488,0.8048780488,1.1707317073
7300,1,1,2,28,-1,106,-1,21,81,-1,45,21,-1,21,45,-1,21,21,-1,25,21,274,133,141,1,1.1095890411,0.2876712329,0.6164383562,0.2876712329,0.2876712329,0.5178082192
2100,1,3,2,41,-1,22,-1,0,79,2,28,50,2,0,56,2,22,28,-1,44,22,235,94,141,1,3.7619047619,2.380952381,2.6666666667,1.3333333333,1.0476190476,2.2380952381
15900,2,1,1,39,0,80,-1,100,117,-1,81,69,-1,0,81,0,43,18,-1,0,43,365,224,141,1,0.7358490566,0.4339622642,0.5094339623,0.1132075472,0.2704402516,0.4125786164
9500,1,1,1,45,-1,169,-1,108,88,-1,97,108,-1,44,97,-1,94,44,-1,21,94,506,364,142,0,0.9263157895,1.1368421053,1.0210526316,0.4631578947,0.9894736842,0.9073684211
9700,2,1,1,42,-2,111,-2,140,190,-2,188,140,-2,61,188,-2,96,61,-2,63,96,690,548,142,0,1.9587628866,1.4432989691,1.9381443299,0.6288659794,0.9896907216,1.3917525773
4100,2,1,2,29,-2,-80,-2,0,222,-2,0,0,-2,0,0,-2,0,0,-2,0,0,142,0,142,0,5.4146341463,0,0,0,0,1.0829268293
6100,2,1,2,25,-2,60,-2,0,82,-2,0,0,-2,0,0,-2,0,0,-2,0,0,142,0,142,0,1.3442622951,0,0,0,0,0.268852459
4700,2,1,1,31,-1,142,-1,13,13,-1,19,13,-1,32,19,-1,0,32,2,13,13,219,77,142,1,0.2765957447,0.2765957447,0.4042553191,0.6808510638,0.2765957447,0.3829787234
12100,1,3,1,30,-1,24,-1,58,105,-1,80,58,0,0,130,0,32,-3,-1,1,29,314,171,143,0,0.867768595,0.479338843,1.0743801653,-0.0247933884,0.2396694215,0.5272727273
8700,1,1,2,29,-1,301,-1,236,161,-1,259,235,-1,207,258,-1,167,206,-1,149,166,1161,1018,143,0,1.8505747126,2.7011494253,2.9655172414,2.367816092,1.908045977,2.3586206897
800,1,2,2,28,0,78,-1,48,101,0,131,74,-1,25,127,-1,43,10,-2,0,37,390,247,143,0,12.625,9.25,15.875,1.25,4.625,8.725
9700,2,2,1,46,-1,133,-1,93,298,-1,171,93,-1,96,171,-1,170,96,-1,118,170,791,648,143,1,3.0721649485,0.9587628866,1.7628865979,0.9896907216,1.7525773196,1.7072164948
6400,2,2,2,26,-1,42,-1,87,82,-1,80,87,0,60,159,0,80,149,0,69,227,519,376,143,0,1.28125,1.359375,2.484375,2.328125,3.546875,2.2
800,2,1,2,22,-1,18,-1,18,161,-1,18,18,-1,18,18,-1,18,18,-1,18,18,233,90,143,0,20.125,2.25,2.25,2.25,2.25,5.825
7300,1,2,1,46,-2,16,-2,31,127,-2,0,31,-2,0,0,-2,0,0,-2,0,0,174,31,143,1,1.7397260274,0.4246575342,0,0,0,0.4328767123
5300,1,2,2,27,-1,144,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,144,0,144,0,0,0,0,0,0,0
3200,2,1,1,34,-2,35,-2,135,127,-2,158,134,-2,0,142,-2,0,0,-2,0,0,438,293,145,0,3.96875,4.1875,4.4375,0,0,2.51875
12000,2,1,2,41,1,54,-2,0,95,-2,39,0,-1,0,39,-1,4,0,-2,0,4,188,43,145,0,0.7916666667,0,0.325,0,0.0333333333,0.23
14900,1,2,1,40,1,145,2,147,70,-1,0,147,2,70,70,-1,70,70,-1,70,70,502,357,145,0,0.4697986577,0.9865771812,0.4697986577,0.4697986577,0.4697986577,0.5731543624
6000,1,2,2,28,-2,145,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,145,0,145,1,0,0,0,0,0,0
14300,2,1,2,28,-1,46,-1,0,100,-1,0,0,-2,0,0,-2,0,0,-2,0,0,146,0,146,1,0.6993006993,0,0,0,0,0.1398601399
1300,2,2,1,38,0,146,0,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,146,0,146,0,0,0,0,0,0,0
12100,2,2,2,58,-1,116,-1,55,16,-1,0,55,2,47,16,-1,0,47,0,0,16,250,102,148,0,0.132231405,0.4545454545,0.132231405,0.3884297521,0.132231405,0.2479338843
